io_ctrl:io_ctrl_reg047 0011C io_ctrl_spi_sif_cs_sel:00000003:0
io_ctrl:io_ctrl_reg048 00120 io_ctrl_spi_sif_dclk_sel:00000003:0
io_ctrl:io_ctrl_reg049 00124 io_ctrl_spi_sif_din_sel:00000003:0
io_ctrl:io_ctrl_reg04A 00128 io_ctrl_spi_sif_dout_sel:00000003:0
io_ctrl:io_ctrl_reg04D 00134 io_ctrl_uart_rxd_sel:00000003:0
io_ctrl:io_ctrl_reg04E 00138 io_ctrl_uart_txd_sel:00000003:0
io_ctrl:io_ctrl_reg04F 0013C io_ctrl_iic_clk_sel:00000003:0
io_ctrl:io_ctrl_reg050 00140 io_ctrl_iic_data_sel:00000003:0
io_ctrl:io_ctrl_reg051 00144 io_ctrl_mdc0_sel:00000003:0
io_ctrl:io_ctrl_reg052 00148 io_ctrl_mdio0_sel:00000003:0
io_ctrl:io_ctrl_reg053 0014C io_ctrl_pwm0_sel:00000003:0
io_ctrl:io_ctrl_reg054 00150 io_ctrl_pwm1_sel:00000003:0
io_ctrl:io_ctrl_reg055 00154 io_ctrl_pwm2_sel:00000003:0
io_ctrl:io_ctrl_reg056 00158 io_ctrl_pwm3_sel:00000003:0
